town|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42
1|0|1105|373|452|1161|660|1004|621|890|617|835|847|575|527|254|1359|112|855|424|503|547|913|1088|613|210|192|595|575|455|484|964|737|342|249|282|1251|516|427|341|859|730|1267
2|xxx|0|1156|742|724|1356|571|617|591|604|1633|1645|824|649|921|824|1006|1151|768|752|1345|1171|1254|1397|989|990|656|697|1239|609|1110|500|1106|1032|1046|1417|706|997|1125|246|374|1433
3|xxx|xxx|0|433|778|287|985|628|871|463|476|488|557|508|235|986|277|492|405|482|188|554|715|240|163|304|576|556|82|465|492|710|151|210|91|878|505|450|32|910|782|894
4|xxx|xxx|xxx|0|712|720|552|201|438|120|909|921|123|75|198|920|356|915|44|51|621|987|1148|673|270|267|83|123|515|32|957|277|402|309|342|1311|64|17|401|478|350|1327
5|xxx|xxx|xxx|xxx|0|491|388|519|274|592|1278|1290|835|637|1013|208|1068|286|756|763|590|956|369|1010|941|1082|645|685|860|596|245|425|929|988|869|532|641|729|801|619|491|548
6|xxx|xxx|xxx|xxx|xxx|0|879|955|765|840|388|400|842|795|522|699|564|205|692|770|99|465|418|519|450|591|863|843|396|752|304|997|438|497|378|581|784|737|319|1198|1080|607
7|xxx|xxx|xxx|xxx|xxx|xxx|0|354|114|432|1266|1278|675|477|750|596|908|674|598|603|978|1344|757|1224|822|819|485|525|1069|536|633|265|954|861|894|920|568|569|1198|271|933|936
8|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|240|82|1171|1158|238|127|399|645|556|1160|245|177|856|1225|1339|868|476|467|134|171|703|187|734|80|604|516|504|1013|131|218|602|584|198|1030
9|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|319|1152|1168|561|363|636|482|794|560|482|489|964|1230|643|1110|708|705|371|411|953|322|519|151|840|747|780|806|454|455|839|345|217|822
10|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|1029|1041|243|45|316|800|476|1035|164|171|741|1107|961|792|390|387|53|93|635|104|837|157|522|429|562|1124|49|137|521|411|283|1140
11|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|12|1055|1008|735|1110|777|616|905|983|312|45|597|732|663|804|1075|1056|582|965|616|1210|651|690|591|716|997|950|532|1411|1283|776
12|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|1043|996|723|1098|765|604|893|971|300|66|609|720|651|792|1064|1044|570|953|604|1198|639|702|579|772|985|938|520|1399|1271|788
13|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|198|321|1045|471|1038|167|72|744|1110|1271|796|393|390|206|246|638|155|1080|400|525|432|465|1434|118|140|524|578|450|1450
14|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|273|845|431|990|119|126|696|1062|1006|748|345|342|8|48|590|59|887|202|477|384|417|1169|91|92|476|403|275|1185
15|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|1118|158|717|170|249|423|789|950|475|72|69|281|321|317|230|826|475|204|111|144|1113|262|215|203|676|548|1129
16|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|1276|494|964|971|798|1164|577|1218|1149|1290|853|893|1068|804|453|633|1137|196|1077|740|849|937|1018|827|699|656
17|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|xxx|0|759|328|407|465|831|992|517|114|96|499|479|359|388|868|633|246|153|186|1155|420|373|245|762|634|1171
